User:
nsb37
Hostname:

CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                16
On-line CPU(s) list:   0-15
Thread(s) per core:    2
Core(s) per socket:    8
Socket(s):             1
NUMA node(s):          1
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz
Stepping:              4
CPU MHz:               1544.062
Computation started at:
Wed 25 Nov 11:20:40 GMT 2020
git commit: 2dc9da2c14d8b29bbb58a979480699b27e79f1a4, branch: master, compiled at: Wed 25 Nov 11:13:16 GMT 2020

Number of MPI processes used: 4

{
    "sampling": {
        "tau": "0.001",
        "maxIter": "30000",
        "seed": "100",
        "shiftDamping": "0.01",
        "initialShift": "0.0",
        "initialPop": "50.0",
        "targetPop": "1000.0",
        "mainMemoryFac": "10.0",
        "spawnMemoryFac": "10.0",
        "initiator": "true"
    }
}

Starting heat bath construction
Heat bath construction done
Hartree--Fock energy: -128.496

#  1. Iter     2. nDets  3. nSpawned           4. Shift_1        5. nWalkers_1      6. Energy_Num_1    7. Energy_Denom_1    8. Time
         0            1            0      -128.4963497305        50.0000000000     -6424.8174865270        50.0000000000     0.0000
         1            3            6      -128.4963497305        52.0000000000     -6424.9175097443        50.0000000000     0.0000
         2            6            5      -128.4963497305        56.0109904590     -6425.4702212572        50.0000000000     0.0001
         3            7            2      -128.4963497305        56.9951950414     -6425.5231230730        50.0000000000     0.0004
         4            8            4      -128.4963497305        57.9794848515     -6425.5306564509        50.0000000000     0.0001
         5            9            5      -128.4963497305        59.5959247624     -6425.6528942363        50.0000000000     0.0001
         6           11            7      -128.4963497305        61.5596833419     -6425.7368151528        50.0000000000     0.0001
         7           12            7      -128.4963497305        62.2532516522     -6425.9908340585        50.0000000000     0.0001
         8           12            5      -128.4963497305        62.3004159185     -6425.9865538641        50.0000000000     0.0001
         9           14           10      -128.4963497305        64.2519658995     -6426.0885070734        50.0000000000     0.0001
        10           14            9      -128.4963497305        65.2039135242     -6426.1147936308        50.0000000000     0.0001
        11           15            8      -128.4963497305        65.1562548344     -6426.1138402927        50.0000000000     0.0001
        12           18            9      -128.4963497305        68.5595144658     -6426.5704632871        50.0000000000     0.0001
        13           18            7      -128.4963497305        68.4940652581     -6426.5625821655        50.0000000000     0.0001
        14           20           12      -128.4963497305        70.4292357676     -6426.6750128382        50.0000000000     0.0001
        15           22           10      -128.4963497305        72.3650191699     -6426.7561892102        50.0000000000     0.0001
