User:
nsb37
Hostname:

CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                16
On-line CPU(s) list:   0-15
Thread(s) per core:    2
Core(s) per socket:    8
Socket(s):             1
NUMA node(s):          1
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz
Stepping:              4
CPU MHz:               1535.765
Computation started at:
Wed 25 Nov 11:26:53 GMT 2020
git commit: 2dc9da2c14d8b29bbb58a979480699b27e79f1a4, branch: master, compiled at: Wed 25 Nov 11:13:16 GMT 2020

Number of MPI processes used: 4

{
    "sampling": {
        "tau": "0.001",
        "maxIter": "15000",
        "seed": "300",
        "shiftDamping": "0.01",
        "initialShift": "0.0",
        "initialPop": "500.0",
        "targetPop": "10000.0",
        "mainMemoryFac": "10.0",
        "spawnMemoryFac": "10.0",
        "initiator": "true",
        "heatBath": "true"
    }
}

Starting heat bath construction
Heat bath construction done
Hartree--Fock energy: -76.0268

Starting heat bath excitation generator construction...
Heat bath excitation generator construction finished.
#  1. Iter     2. nDets  3. nSpawned           4. Shift_1        5. nWalkers_1      6. Energy_Num_1    7. Energy_Denom_1    8. Time
         0            1            0       -76.0267720534       500.0000000000    -38013.3860266961       500.0000000000     0.0000
         1           16          277       -76.0267720534       515.0000000000    -38013.6743412230       500.0000000000     0.0000
         2           33          297       -76.0267720534       532.1116307068    -38014.1944477990       500.0000000000     0.0007
         3           49          300       -76.0267720534       548.4598013830    -38014.6997433266       500.0000000000     0.0005
         4           65          311       -76.0267720534       564.9387485811    -38015.0611291925       500.0000000000     0.0005
         5           80          318       -76.0267720534       580.8160948602    -38015.4324679739       500.0000000000     0.0005
         6           95          314       -76.0267720534       596.8729167838    -38020.1341345527       500.0560996353     0.0005
         7          117          345       -76.0267720534       618.9553339774    -38020.6722990958       500.0560996353     0.0005
         8          135          377       -76.0267720534       636.0048032982    -38021.2889785836       500.0560996353     0.0005
         9          150          353       -76.0267720534       653.6857110907    -38021.7908869746       500.0560996353     0.0006
        10          165          365       -76.0267720534       672.3803232042    -38022.3977283599       500.0560996353     0.0006
        11          182          414       -76.0267720534       689.0835852122    -38022.7830945290       500.0560996353     0.0005
        12          192          396       -76.0267720534       700.3827545659    -38023.1248565707       500.0560996353     0.0006
        13          204          395       -76.0267720534       715.1354530231    -38023.6278947394       500.0560996353     0.0005
        14          220          417       -76.0267720534       734.3230246059    -38027.5556378005       500.1011670762     0.0005
        15          237          433       -76.0267720534       752.3751716073    -38028.0596984504       500.1011670762     0.0005
        16          255          449       -76.0267720534       772.7321996801    -38032.9817261291       500.1596821754     0.0005
        17          265          447       -76.0267720534       787.5600270158    -38033.4355268656       500.1596821754     0.0006
        18          280          459       -76.0267720534       802.3650753856    -38033.8452761407       500.1596821754     0.0006
        19          290          497       -76.0267720534       814.7773272944    -38037.6100419270       500.2041966401     0.0006
        20          296          486       -76.0267720534       822.1905065665    -38037.7784289467       500.2041966401     0.0005
        21          309          505       -76.0267720534       839.7288441206    -38038.2370276587       500.2041966401     0.0006
        22          320          487       -76.0267720534       853.4028614185    -38038.6521270999       500.2041966401     0.0006
